item_name,item_category,item_detail_url,item_price,item_store,item_create_date,item_thumb_upvotes,item_n_comments
"NEIKO 10083A Master Torx Bit Socket and External Torx Socket Set, S2 and CrV Steel, Supreme Torque Output Complete Kit, 60 Pieces $49.47",auto,https://slickdeals.net/f/17244838-neiko-10083a-master-torx-bit-socket-and-external-torx-socket-set-s2-and-crv-steel-supreme-torque-output-complete-kit-60-pieces-49-47,49.47,Amazon ,2024-01-20,5,2
Kobalt 24-volt Max 3-Gallons Cordless Wet/Dry Shop Vacuum with Accessories Included (Tool Only) $79,auto,https://slickdeals.net/f/17244706-kobalt-24-volt-max-3-gallons-cordless-wet-dry-shop-vacuum-with-accessories-included-tool-only-79,79,Lowe's ,2024-01-20,1,6
Nakamichi Single DIN 50Wx4 Bluetooth & CD Car In-Dash Stereo Receiver (NQ822B) $39.99,auto,https://slickdeals.net/f/17244340-nakamichi-single-din-50wx4-bluetooth-cd-car-in-dash-stereo-receiver-nq822b-39-99,39.99,Woot! ,2024-01-19,4,4
15-Oz Meguiar's Car Exterior Foaming Heavy Duty Bug & Tar Remover Cleaning Aerosol $4.95 + Free Shipping w/ Prime or on $35+,auto,https://slickdeals.net/f/17241736-15-oz-meguiar-s-car-exterior-foaming-heavy-duty-bug-tar-remover-cleaning-aerosol-4-95-free-shipping-w-prime-or-on-35,4.95,Amazon ,2024-01-18,18,17
LISEN 15W Wireless MagSafe Phone Car Vent Mount Charger $14.60 + Free Shipping w/ Prime or $35+ orders,auto,https://slickdeals.net/f/17240614-lisen-15w-wireless-magsafe-phone-car-vent-mount-charger-14-60-free-shipping-w-prime-or-35-orders,14.60,Amazon ,2024-01-18,1,8
Prist Windshield Cleaner $7.57,auto,https://slickdeals.net/f/17238067-prist-windshield-cleaner-7-57,7.57,,2024-01-16,10,5
"$134.56 /w S&S: Chemical Guys BUF_209X TORQX Random Orbital Polisher, Complete Detailing Kit with Pads, Pad Cleaner & Conditioner, Towels - 12 Items",auto,https://slickdeals.net/f/17238412-134-56-w-s-s-chemical-guys-buf-209x-torqx-random-orbital-polisher-complete-detailing-kit-with-pads-pad-cleaner-conditioner-towels-12-items,134.56,Amazon ,2024-01-17,14,13
"NEIKO 00254A Impact Socket Adapter and Magnetic Bit Holder, 7-Piece Set, 1/4"" Hex Shank with 1/4, 3/8, 1/2-Inch Drive, Socket Adapter Extension Set 6"" Long, Cr-V Steel $11.6",auto,https://slickdeals.net/f/17236819-neiko-00254a-impact-socket-adapter-and-magnetic-bit-holder-7-piece-set-1-4-hex-shank-with-1-4-3-8-1-2-inch-drive-socket-adapter-extension-set-6-long-cr-v-steel-11-6,11.60,Woot! ,2024-01-16,2,1
"20' EverStart Maxx 4-Gauge Automotive Booster Jumper Cables $17.87 + Free Store Pickup at Walmart, FS w/ Walmart+ or on $35+",auto,https://slickdeals.net/f/17236210-20-everstart-maxx-4-gauge-automotive-booster-jumper-cables-17-87-free-store-pickup-at-walmart-fs-w-walmart-or-on-35,17.87,Walmart ,2024-01-16,2,4
Milwaukee Shockwave Driver Bit Set (115-Piece) with Packout Case  - $51.97,auto,https://slickdeals.net/f/17234833-milwaukee-shockwave-driver-bit-set-115-piece-with-packout-case-51-97,51.97,Home Depot ,2024-01-15,6,11
"Husky 3-Ton Aluminum/Steel Car Jack HPL4751 - update, location based price",auto,https://slickdeals.net/f/17235475-husky-3-ton-aluminum-steel-car-jack-hpl4751-update-location-based-price,129,Home Depot ,2024-01-15,3,11
Nite IZE S-Biner Stainless Steel SlideLock,auto,https://slickdeals.net/f/17235406-nite-ize-s-biner-stainless-steel-slidelock-3,2.97,Amazon ,2024-01-17,107,80
"Snow Plow Blade Universal Kit Steel White Adjustable 48"" Complete for ATV - Free Shipping - $252",auto,https://slickdeals.net/f/17233210-snow-plow-blade-universal-kit-steel-white-adjustable-48-complete-for-atv-free-shipping-252,252,Walmart ,2024-01-14,3,18
"$18.47: Duracell Ion Speed 1000 Charger for Rechargeable AA and AAA Batteries, Includes 6 AA and 2 AAA Pre-Charged Batteries",auto,https://slickdeals.net/f/17232739-18-47-duracell-ion-speed-1000-charger-for-rechargeable-aa-and-aaa-batteries-includes-6-aa-and-2-aaa-pre-charged-batteries,18.47,Amazon ,2024-01-14,1,4
YMMV Craftsman 6.4 oz. 2-cycle Conventional Engine Oil $1.62 at Lowe's In-Store,auto,https://slickdeals.net/f/17232133-ymmv-craftsman-6-4-oz-2-cycle-conventional-engine-oil-1-62-at-lowe-s-in-store,1.62,Lowe's ,2024-01-13,3,0
Harbor Freight has MEGUIAR'S 26 oz. Hybrid Ceramic Wax for $11.89 after coupon in store only - $11.89,auto,https://slickdeals.net/f/17230999-harbor-freight-has-meguiar-s-26-oz-hybrid-ceramic-wax-for-11-89-after-coupon-in-store-only-11-89,11.89,Harbor Freight ,2024-01-13,2,0
270-Piece Husky Mechanics Tool Set,auto,https://slickdeals.net/f/17231131-270-piece-husky-mechanics-tool-set-99-free-shipping,99,Home Depot ,2024-01-13,30,35
240-Piece TICONN Quick Splice T Tap Wire Connectors (Various),auto,https://slickdeals.net/f/17230549-240-piece-ticonn-quick-splice-t-tap-wire-connectors-various-5-45,5.46,Amazon ,2024-01-12,21,72
